82|10.04.2015|Resonanz|3|5
81|12.03.2015|Resonanz|0|2
80|13.02.2015|Resonanz|6|
79|08.01.2014|Resonanz|5|
78|12.12.2014|Resonanz|5|
77|13.11.2014|Resonanz|4|
76|10.10.2014|Resonanz|3|
75|11.09.2014|Resonanz|1|
74|08.08.2014|Resonanz|2|
73|10.07.2014|Resonanz|6|
72|13.06.2014|Resonanz|2|
71|11.04.2014|Resonanz|6|
70|13.03.2014|Resonanz|1|
69|14.02.2014|Resonanz|6|
68|09.01.2014|Resonanz|6|
67|13.12.2013|Resonanz|6|
66|14.11.2013|Resonanz|4|
65|11.10.2013|Resonanz|5|
64|12.09.2013|Resonanz|5|
63|08.08.2013|Resonanz|3|
62|11.07.2013|c-base|3|
61|13.06.2013|c-base|1|
60|09.05.2013|c-base|2|
59|11.04.2013|c-base|3|
58|14.03.2013|c-base|0|>0
57|14.02.2013|c-base|5|
56|10.01.2013|c-base|4|
55|13.12.2012|c-base|2|
54|08.11.2012|c-base|3|
53|11.10.2012|c-base|3|
52|13.09.2012|c-base|3|
51|09.08.2012|c-base|4|
50|12.07.2012|c-base|3|
49|14.06.2012|c-base|4|
48|10.05.2012|c-base|4|
47|12.04.2012|c-base|4|
46|08.03.2012|c-base|3|
45|09.02.2012|c-base|5|
44|12.01.2012|c-base|3|
43|08.12.2011|c-base|7|
42|10.11.2011|c-base|2|
41|13.10.2011|c-base|3|
40|08.09.2011|c-base|7|
39|11.08.2011|c-base|2|
38|14.07.2011|c-base|5|
37|09.06.2011|c-base|4|
36|13.05.2011|Romiosini am ICC|-|
35|14.04.2011|c-base|9|
34|11.03.2011|c-base|5|
33|10.02.2011|c-base|4|
32|13.01.2011|c-base|3|
31|09.12.2010|c-base|6|
30|11.11.2010|c-base|5|
29|14.10.2010|c-base|4|
28|09.09.2010|c-base|6|
27|12.08.2010|c-base|8|
26|08.07.2010|Tante Elli|4|
25|11.06.2010|Romiosini am ICC|-|
24|20.05.2010|Tante Elli|3|
23|08.04.2010|Tante Elli|5|
22|11.03.2010|Tante Elli|6|
21|11.02.2010|Tante Elli|8|
20|14.01.2010|Tante Elli|7|
19|10.12.2009|Tante Elli|7|
18|12.11.2009|Tante Elli|7|
17|08.10.2009|Tante Elli|5|
16|10.09.2009|Tante Elli|3|
15|13.08.2009|Tante Elli|11|
14|09.07.2009|Tante Elli|7|
13|11.06.2009|Tante Elli|6|
12|14.05.2009|Tante Elli|8|
11|09.04.2009|Tante Elli|7|
